Датум,Цена,Макс,Мин,Просечна цена,% Промена,Количина,Вкупен промет
18.1.2021,"13.880,00","13.880,00","13.801,00","13.875,89","0,03",96,1.332.085
15.1.2021,"13.800,00","14.000,00","13.790,00","13.872,12","-0,82",346,4.799.754
14.1.2021,"13.977,00","14.000,00","13.950,00","13.986,41","1,23",425,17.604.835
13.1.2021,"13.850,00","13.900,00","13.650,00","13.817,00","1,87",657,9.077.769
12.1.2021,"13.652,00","13.750,00","13.500,00","13.563,71","1,18",449,6.090.105
11.1.2021,"13.497,00","13.497,00","13.400,00","13.404,88","0,15",428,5.737.287
08.1.2021,"13.353,00","13.400,00","13.328,00","13.384,44","0,32",101,1.351.828
05.1.2021,"13.300,00","13.350,00","13.300,00","13.341,38","1,02",58,773.800
04.1.2021,"13.200,00",,,"13.206,98","0,00",0,0
30.12.2020,"13.200,00","13.499,00","13.200,00","13.206,98","0,06",343,4.529.995
29.12.2020,"13.200,00","13.201,00","13.199,00","13.199,55","1,38",337,4.448.250
28.12.2020,"13.099,00","13.099,00","12.990,00","13.019,77","0,48",60,781.186
25.12.2020,"12.990,00","12.990,00","12.900,00","12.957,95","0,87",44,570.150
24.12.2020,"12.850,00","12.850,00","12.800,00","12.846,58","0,39",73,937.800
23.12.2020,"12.800,00","12.800,00","12.730,00","12.797,13","0,12",230,2.943.340
22.12.2020,"12.700,00","12.800,00","12.700,00","12.781,32","-0,14",120,1.533.759
21.12.2020,"12.800,00","12.830,00","12.720,00","12.798,66","0,78",73,934.302
18.12.2020,"12.800,00","12.800,00","12.650,00","12.699,34","0,68",80,1.015.947
17.12.2020,"12.611,00","12.700,00","12.599,00","12.613,60","0,13",590,22.171.422
16.12.2020,"12.600,00","12.600,00","12.550,00","12.597,25","0,62",91,1.146.350
15.12.2020,"12.600,00","12.600,00","12.500,00","12.519,77","0,18",220,2.754.350
14.12.2020,"12.421,00","12.500,00","12.421,00","12.497,34","-0,02",208,2.599.446
11.12.2020,"12.500,00","12.500,00","12.500,00","12.500,00","0,00",160,2.000.000
10.12.2020,"12.500,00","12.500,00","12.500,00","12.500,00","-0,14",150,1.875.000
09.12.2020,"12.500,00","12.548,00","12.500,00","12.517,63","-0,23",98,1.226.728
07.12.2020,"12.500,00","12.549,00","12.500,00","12.546,91","-0,03",234,2.935.976
04.12.2020,"12.550,00","12.590,00","12.550,00","12.550,83","0,21",290,3.639.740
03.12.2020,"12.550,00","12.550,00","12.500,00","12.525,00","-0,02",26,325.650
02.12.2020,"12.550,00","12.550,00","12.355,00","12.527,87","0,24",324,4.059.030
01.12.2020,"12.500,00","12.500,00","12.311,00","12.498,17","-0,01",103,1.287.311
30.11.2020,"12.500,00","12.500,00","12.500,00","12.500,00","-0,75",22,275.000
27.11.2020,"12.595,00","12.595,00","12.594,00","12.594,81","-0,03",131,1.649.920
26.11.2020,"12.598,00",,,"12.598,22","0,00",0,0
25.11.2020,"12.598,00","12.599,00","12.595,00","12.598,22","0,07",96,1.209.429
24.11.2020,"12.602,00","12.650,00","12.548,00","12.589,96","0,63",593,7.465.844
23.11.2020,"12.500,00","12.549,00","12.499,00","12.510,99","0,10",138,1.726.516
20.11.2020,"12.499,00","12.499,00","12.499,00","12.499,00","0,70",29,362.471
19.11.2020,"12.500,00","12.500,00","12.349,00","12.411,57","0,72",293,3.636.590
18.11.2020,"12.300,00","12.340,00","12.300,00","12.323,26","0,19",43,529.900
17.11.2020,"12.300,00","12.300,00","12.300,00","12.300,00","-0,35",10,123.000
16.11.2020,"12.320,00","12.350,00","12.320,00","12.343,55","-0,05",93,1.147.950
13.11.2020,"12.350,00","12.350,00","12.350,00","12.350,00","-0,24",64,790.400
12.11.2020,"12.380,00","12.380,00","12.380,00","12.380,00","0,24",100,1.238.000
11.11.2020,"12.350,00","12.350,00","12.350,00","12.350,00","0,41",365,4.507.750
10.11.2020,"12.300,00","12.300,00","12.300,00","12.300,00","0,72",105,1.291.500
09.11.2020,"12.250,00","12.250,00","12.100,00","12.212,17","0,91",192,2.344.736
