Датум,Цена,Макс,Мин,Просечна цена,% Промена,Количина,Вкупен промет
18.1.2021,"1.158,00","1.162,00","1.133,00","1.151,52","1,82",843,970.735
15.1.2021,"1.132,00",,,"1.130,96","0,00",0,0
14.1.2021,"1.132,00","1.132,00","1.130,00","1.130,96","2,28",916,1.035.962
13.1.2021,"1.100,00","1.110,00","1.100,00","1.105,73","0,50",663,733.100
12.1.2021,"1.110,00","1.110,00","1.100,00","1.100,27","0,02",1.880,2.068.500
11.1.2021,"1.100,00","1.100,00","1.100,00","1.100,00","2,90",200,220.000
08.1.2021,"1.069,00","1.069,00","1.069,00","1.069,00","-2,70",8,8.552
05.1.2021,"1.089,00","1.100,00","1.089,00","1.098,62","-1,82",80,87.890
04.1.2021,"1.119,00",,,"1.118,95","0,00",0,0
30.12.2020,"1.119,00","1.119,00","1.118,00","1.118,95","2,92",3.835,4.291.160
29.12.2020,"1.112,00","1.112,00","1.080,00","1.087,16","0,66",1.850,2.011.250
28.12.2020,"1.080,00","1.080,00","1.080,00","1.080,00","0,00",350,378.000
25.12.2020,"1.080,00","1.080,00","1.080,00","1.080,00","0,00",250,270.000
24.12.2020,"1.080,00","1.080,00","1.080,00","1.080,00","0,00",265,286.200
23.12.2020,"1.080,00","1.080,00","1.080,00","1.080,00","0,00",100,108.000
22.12.2020,"1.080,00","1.080,00","1.080,00","1.080,00","-0,74",1.192,1.287.360
21.12.2020,"1.080,00","1.099,00","1.060,00","1.088,02","-0,11",638,694.157
18.12.2020,"1.100,00","1.100,00","1.058,00","1.089,26","4,90",1.187,1.292.953
17.12.2020,"1.030,00","1.040,00","1.030,00","1.038,41","-0,54",107,28.286.790
16.12.2020,"1.050,00","1.050,00","1.030,00","1.044,00","1,33",150,156.600
15.12.2020,"1.031,00","1.031,00","1.030,00","1.030,31","-1,15",352,362.670
14.12.2020,"1.050,00","1.050,00","1.030,00","1.042,27","0,70",2.263,2.358.660
11.12.2020,"1.035,00","1.035,00","1.035,00","1.035,00","0,43",700,724.500
10.12.2020,"1.030,00","1.031,00","1.030,00","1.030,60","-0,06",250,257.650
09.12.2020,"1.031,00","1.032,00","1.031,00","1.031,21","0,12",1.430,1.474.624
07.12.2020,"1.030,00","1.030,00","1.030,00","1.030,00","-1,04",505,520.150
04.12.2020,"1.044,00","1.044,00","1.040,00","1.040,84","0,18",76,79.104
03.12.2020,"1.039,00","1.039,00","1.039,00","1.039,00","0,00",169,175.591
02.12.2020,"1.039,00","1.039,00","1.039,00","1.039,00","0,78",36,37.404
01.12.2020,"1.031,00","1.031,00","1.031,00","1.031,00","0,33",430,443.330
30.11.2020,"1.030,00",,,"1.027,56","0,00",0,0
27.11.2020,"1.030,00","1.030,00","1.021,00","1.027,56","-0,33",369,379.170
26.11.2020,"1.031,00","1.032,00","1.030,00","1.031,00","0,10",236,243.316
25.11.2020,"1.030,00",,,"1.030,00","0,00",0,0
24.11.2020,"1.030,00","1.030,00","1.030,00","1.030,00","0,00",10,10.300
23.11.2020,"1.030,00","1.030,00","1.030,00","1.030,00","-0,38",45,46.350
20.11.2020,"1.045,00",,,"1.033,89","0,00",0,0
19.11.2020,"1.045,00","1.045,00","1.030,00","1.033,89","1,07",270,279.150
18.11.2020,"1.030,00","1.030,00","1.010,00","1.022,94","-0,62",453,463.390
17.11.2020,"1.030,00","1.030,00","1.029,00","1.029,33","1,46",300,308.800
16.11.2020,"1.015,00","1.015,00","1.005,00","1.014,49","-0,67",295,299.275
13.11.2020,"1.030,00","1.030,00","1.016,00","1.021,29","1,04",2.210,2.257.059
12.11.2020,"1.014,00",,,"1.010,74","0,00",0,0
11.11.2020,"1.014,00",,,"1.010,74","0,00",0,0
10.11.2020,"1.014,00","1.014,00","1.010,00","1.010,74","2,09",4.441,4.488.677
09.11.2020,"990,00","990,00","990,00","990,00","-2,00",27,26.730
06.11.2020,"1.010,00","1.015,00","1.010,00","1.010,16","0,51",2.750,2.777.950
05.11.2020,"1.004,00","1.015,00","1.000,00","1.004,99","0,43",543,545.710
04.11.2020,"1.001,00","1.001,00","1.000,00","1.000,71","-1,90",705,705.500
03.11.2020,"1.014,00","1.030,00","1.013,00","1.020,14","-2,23",3.191,3.255.258
02.11.2020,"1.050,00","1.050,00","1.030,00","1.043,36","1,08",670,699.050
30.10.2020,"1.053,00","1.053,00","1.020,00","1.032,24","0,97",2.626,2.710.670
29.10.2020,"1.029,00","1.029,00","1.002,00","1.022,34","1,98",3.631,3.712.120
28.10.2020,"1.000,00","1.015,00","1.000,00","1.002,50","-2,67",600,601.500
27.10.2020,"1.030,00","1.030,00","1.030,00","1.030,00","0,00",665,684.950
26.10.2020,"1.030,00","1.030,00","1.030,00","1.030,00","-1,90",1.583,1.630.490
22.10.2020,"1.050,00","1.050,00","1.050,00","1.050,00","1,91",426,447.300
21.10.2020,"1.060,00","1.060,00","1.030,00","1.030,34","0,07",14.830,15.279.950
20.10.2020,"1.030,00","1.030,00","1.029,00","1.029,67","-0,03",512,527.190
19.10.2020,"1.030,00","1.030,00","1.029,00","1.029,93","-0,01",1.657,1.706.598
16.10.2020,"1.030,00","1.031,00","1.030,00","1.030,05","2,45",1.550,1.596.570
15.10.2020,"1.007,00","1.010,00","1.004,00","1.005,37","-2,17",657,660.528
14.10.2020,"1.020,00","1.030,00","1.020,00","1.027,67","0,30",43,44.190
13.10.2020,"1.024,00","1.030,00","1.023,00","1.024,55","0,22",1.030,1.055.290
09.10.2020,"1.025,00","1.025,00","1.021,00","1.022,33","-1,76",150,153.350
08.10.2020,"1.040,00","1.045,00","1.040,00","1.040,66","-0,26",288,299.710
07.10.2020,"1.050,00","1.050,00","1.038,00","1.043,39","3,99",1.197,1.248.940
06.10.2020,"1.010,00","1.010,00","1.003,00","1.003,38","-2,74",370,371.250
05.10.2020,"1.010,00",,,"1.031,60","0,00",0,0
02.10.2020,"1.010,00","1.046,00","1.010,00","1.031,60","-0,65",500,515.800
01.10.2020,"1.049,00","1.049,00","1.030,00","1.038,37","0,81",2.540,2.637.458
30.9.2020,"1.030,00","1.030,00","1.030,00","1.030,00","2,69",42,43.260
29.9.2020,"1.003,00",,,"1.003,00","0,00",0,0
28.9.2020,"1.003,00","1.003,00","1.003,00","1.003,00","-0,36",1.039,1.042.117
25.9.2020,"1.011,00","1.011,00","1.003,00","1.006,66","0,26",3.544,3.567.620
24.9.2020,"1.011,00","1.011,00","1.002,00","1.004,01","-0,10",5.567,5.589.312
23.9.2020,"1.005,00","1.005,00","1.005,00","1.005,00","0,30",196,196.980
22.9.2020,"1.003,00","1.003,00","1.002,00","1.002,02","-2,69",609,610.228
21.9.2020,"1.039,00",,,"1.029,74","0,00",0,0
18.9.2020,"1.039,00","1.039,00","1.002,00","1.029,74","2,97",4.446,4.578.226
17.9.2020,"1.000,00","1.000,00","1.000,00","1.000,00","2,04",151,151.000
16.9.2020,"980,00","980,00","980,00","980,00","-2,00",15,14.700
15.9.2020,"1.000,00",,,"1.000,00","0,00",0,0
14.9.2020,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",20,20.000
11.9.2020,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",208,208.000
10.9.2020,"1.000,00","1.000,00","1.000,00","1.000,00","-0,09",200,200.000
09.9.2020,"1.001,00","1.001,00","1.000,00","1.000,88","-0,03",9.503,9.511.392
07.9.2020,"1.029,00","1.029,00","1.001,00","1.001,17","0,12",8.050,8.059.450
04.9.2020,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",342,342.000
03.9.2020,"1.000,00","1.000,00","1.000,00","1.000,00","2,56",940,940.000
02.9.2020,"975,00","975,00","975,00","975,00","0,00",125,121.875
01.9.2020,"975,00","975,00","975,00","975,00","0,00",300,292.500
31.8.2020,"975,00",,,"975,00","0,00",0,0
27.8.2020,"975,00","975,00","975,00","975,00","1,72",4.939,4.815.525
26.8.2020,"960,00","960,00","950,00","958,48","0,89",3.290,3.153.389
25.8.2020,"950,00",,,"950,00","0,00",0,0
