Датум,Цена,Макс,Мин,Просечна цена,% Промена,Количина,Вкупен промет
18.1.2021,"73.000,00",,,"73.000,00","0,00",0,0
15.1.2021,"73.000,00","73.000,00","73.000,00","73.000,00","-0,68",90,6.570.000
14.1.2021,"73.000,00","74.000,00","73.000,00","73.499,65","0,00",26,1.910.991
13.1.2021,"73.499,00","73.499,00","73.499,00","73.499,00","1,97",4,293.996
12.1.2021,"72.001,00","73.000,00","72.000,00","72.077,12","-2,60",26,1.874.005
11.1.2021,"74.000,00","74.000,00","74.000,00","74.000,00","-0,80",10,740.000
08.1.2021,"74.500,00","74.886,00","74.500,00","74.596,36","-0,13",28,2.088.698
05.1.2021,"74.000,00","74.999,00","74.000,00","74.691,30","0,98",64,4.780.243
04.1.2021,"73.950,00","73.999,00","73.950,00","73.966,33","0,46",3,221.899
30.12.2020,"73.000,00","74.000,00","72.753,00","73.626,32","1,66",88,6.479.116
29.12.2020,"73.000,00","74.000,00","72.000,00","72.425,96","3,38",128,9.270.523
28.12.2020,"71.000,00","71.000,00","69.000,00","70.055,56","2,27",54,3.783.000
25.12.2020,"68.500,00","68.500,00","68.500,00","68.500,00","1,74",8,548.000
24.12.2020,"67.500,00","68.000,00","67.000,00","67.328,12","0,49",32,2.154.500
23.12.2020,"67.000,00","67.000,00","67.000,00","67.000,00","-1,35",337,22.579.000
22.12.2020,"67.500,00",,,"67.918,42","0,00",0,0
21.12.2020,"67.500,00","68.000,00","67.500,00","67.918,42","1,01",38,2.580.900
18.12.2020,"67.899,00","67.899,00","67.200,00","67.238,83","-0,39",144,9.682.392
17.12.2020,"67.500,00",,,"67.500,00","0,00",0,0
16.12.2020,"67.500,00","67.500,00","67.500,00","67.500,00","0,67",2,135.000
15.12.2020,"67.050,00","67.050,00","67.050,00","67.050,00","0,07",7,469.350
14.12.2020,"67.001,00","67.001,00","67.000,00","67.000,17","-0,42",29,1.943.005
11.12.2020,"67.100,00",,,"67.281,25","0,00",0,0
10.12.2020,"67.100,00","67.700,00","67.100,00","67.281,25","-0,63",32,2.153.000
09.12.2020,"67.700,00","68.000,00","67.699,00","67.706,51","-1,87",92,6.228.999
07.12.2020,"68.999,00",,,"68.999,00","0,00",0,0
04.12.2020,"68.999,00","68.999,00","68.999,00","68.999,00","0,73",1,68.999
03.12.2020,"68.500,00",,,"68.500,00","0,00",0,0
02.12.2020,"68.500,00",,,"68.500,00","0,00",0,0
01.12.2020,"68.500,00","68.500,00","68.500,00","68.500,00","-1,44",1,68.500
30.11.2020,"69.500,00","69.500,00","69.500,00","69.500,00","-0,71",1,69.500
27.11.2020,"70.000,00","70.000,00","69.998,00","69.998,91","0,00",11,769.988
26.11.2020,"69.998,00",,,"69.999,72","0,00",0,0
25.11.2020,"69.998,00",,,"69.999,72","0,00",0,0
24.11.2020,"69.998,00","70.000,00","69.998,00","69.999,72","0,90",18,1.259.995
23.11.2020,"69.500,00","69.990,00","69.000,00","69.373,33","-0,18",12,832.480
20.11.2020,"69.500,00","69.500,00","69.500,00","69.500,00","1,46",22,1.529.000
19.11.2020,"68.500,00","68.500,00","68.500,00","68.500,00","0,00",16,1.096.000
18.11.2020,"68.500,00","68.500,00","68.500,00","68.500,00","0,00",5,342.500
17.11.2020,"68.500,00","68.500,00","68.500,00","68.500,00","0,00",1,68.500
16.11.2020,"68.500,00","68.500,00","68.500,00","68.500,00","-0,07",1,68.500
13.11.2020,"69.000,00",,,"68.550,20","0,00",0,0
12.11.2020,"69.000,00",,,"68.550,20","0,00",0,0
11.11.2020,"69.000,00",,,"68.550,20","0,00",0,0
10.11.2020,"69.000,00","69.000,00","68.000,00","68.550,20","0,16",20,1.371.004
09.11.2020,"68.500,00","68.500,00","68.400,00","68.441,67","3,70",12,821.300
06.11.2020,"66.000,00",,,"66.000,00","0,00",0,0
05.11.2020,"66.000,00","66.000,00","66.000,00","66.000,00","-1,49",1,66.000
04.11.2020,"67.000,00","67.000,00","67.000,00","67.000,00","0,00",4,268.000
03.11.2020,"67.000,00","67.000,00","67.000,00","67.000,00","-2,90",3,201.000
02.11.2020,"69.000,00","69.000,00","69.000,00","69.000,00","0,00",16,1.104.000
30.10.2020,"69.000,00","69.000,00","69.000,00","69.000,00","2,58",51,3.519.000
29.10.2020,"68.000,00","68.060,00","66.000,00","67.262,79","1,78",29,1.950.621
28.10.2020,"66.300,00","66.300,00","66.000,00","66.083,89","-0,38",18,1.189.510
27.10.2020,"66.000,00","68.000,00","66.000,00","66.333,67","-2,35",12,796.004
26.10.2020,"68.000,00",,,"67.928,57","0,00",0,0
22.10.2020,"68.000,00","68.000,00","67.500,00","67.928,57","0,00",14,951.000
21.10.2020,"68.000,00","68.000,00","67.800,00","67.928,57","-1,70",28,1.902.000
20.10.2020,"69.000,00",,,"69.099,97","0,00",0,0
19.10.2020,"69.000,00",,,"69.099,97","0,00",0,0
16.10.2020,"69.000,00","69.200,00","69.000,00","69.099,97","-1,18",33,2.280.299
