Датум,Цена,Макс,Мин,Просечна цена,% Промена,Количина,Вкупен промет
18.1.2021,"4.551,00","4.551,00","4.551,00","4.551,00","9,22",25,113.775
15.1.2021,"4.200,00",,,"4.166,89","0,00",0,0
14.1.2021,"4.200,00",,,"4.166,89","0,00",0,0
13.1.2021,"4.200,00",,,"4.166,89","0,00",0,0
12.1.2021,"4.200,00",,,"4.166,89","0,00",0,0
11.1.2021,"4.200,00",,,"4.166,89","0,00",0,0
08.1.2021,"4.200,00",,,"4.166,89","0,00",0,0
05.1.2021,"4.200,00",,,"4.166,89","0,00",0,0
04.1.2021,"4.200,00",,,"4.166,89","0,00",0,0
30.12.2020,"4.200,00","4.200,00","4.100,00","4.166,89","4,17",45,187.510
29.12.2020,"4.000,00",,,"4.000,00","0,00",0,0
28.12.2020,"4.000,00","4.000,00","4.000,00","4.000,00","2,56",80,320.000
25.12.2020,"3.900,00",,,"3.900,00","0,00",0,0
24.12.2020,"3.900,00",,,"3.900,00","0,00",0,0
23.12.2020,"3.900,00",,,"3.900,00","0,00",0,0
22.12.2020,"3.900,00","3.900,00","3.900,00","3.900,00","0,15",200,780.000
21.12.2020,"3.900,00","3.900,00","3.784,00","3.893,97","-0,15",287,1.117.568
18.12.2020,"3.900,00",,,"3.900,00","0,00",0,0
17.12.2020,"3.900,00",,,"3.900,00","0,00",0,0
16.12.2020,"3.900,00",,,"3.900,00","0,00",0,0
15.12.2020,"3.900,00",,,"3.900,00","0,00",0,0
14.12.2020,"3.900,00",,,"3.900,00","0,00",0,0
11.12.2020,"3.900,00",,,"3.900,00","0,00",0,0
10.12.2020,"3.900,00",,,"3.900,00","0,00",0,0
09.12.2020,"3.900,00",,,"3.900,00","0,00",0,0
07.12.2020,"3.900,00",,,"3.900,00","0,00",0,0
04.12.2020,"3.900,00",,,"3.900,00","0,00",0,0
03.12.2020,"3.900,00",,,"3.900,00","0,00",0,0
02.12.2020,"3.900,00","3.900,00","3.900,00","3.900,00","5,41",20,78.000
01.12.2020,"3.700,00",,,"3.700,00","0,00",0,0
30.11.2020,"3.700,00",,,"3.700,00","0,00",0,0
27.11.2020,"3.700,00",,,"3.700,00","0,00",0,0
26.11.2020,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",8,29.600
25.11.2020,"3.700,00",,,"3.700,00","0,00",0,0
24.11.2020,"3.700,00",,,"3.700,00","0,00",0,0
23.11.2020,"3.700,00",,,"3.700,00","0,00",0,0
20.11.2020,"3.700,00",,,"3.700,00","0,00",0,0
19.11.2020,"3.700,00",,,"3.700,00","0,00",0,0
18.11.2020,"3.700,00",,,"3.700,00","0,00",0,0
17.11.2020,"3.700,00",,,"3.700,00","0,00",0,0
16.11.2020,"3.700,00",,,"3.700,00","0,00",0,0
13.11.2020,"3.700,00",,,"3.700,00","0,00",0,0
12.11.2020,"3.700,00","3.700,00","3.700,00","3.700,00","2,78",5,18.500
11.11.2020,"3.600,00",,,"3.600,00","0,00",0,0
10.11.2020,"3.600,00",,,"3.600,00","0,00",0,0
09.11.2020,"3.600,00","3.600,00","3.600,00","3.600,00","-2,70",225,810.000
06.11.2020,"3.700,00",,,"3.700,00","0,00",0,0
05.11.2020,"3.700,00",,,"3.700,00","0,00",0,0
04.11.2020,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",17,62.900
03.11.2020,"3.700,00",,,"3.700,00","0,00",0,0
02.11.2020,"3.700,00",,,"3.700,00","0,00",0,0
30.10.2020,"3.700,00",,,"3.700,00","0,00",0,0
29.10.2020,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",6,22.200
28.10.2020,"3.700,00",,,"3.700,00","0,00",0,0
27.10.2020,"3.700,00",,,"3.700,00","0,00",0,0
26.10.2020,"3.700,00",,,"3.700,00","0,00",0,0
22.10.2020,"3.700,00",,,"3.700,00","0,00",0,0
21.10.2020,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",371,1.372.700
20.10.2020,"3.700,00",,,"3.700,00","0,00",0,0
19.10.2020,"3.700,00","3.700,00","3.700,00","3.700,00","-2,63",20,74.000
16.10.2020,"3.800,00",,,"3.800,00","0,00",0,0
15.10.2020,"3.800,00",,,"3.800,00","0,00",0,0
14.10.2020,"3.800,00",,,"3.800,00","0,00",0,0
13.10.2020,"3.800,00","3.800,00","3.800,00","3.800,00","0,00",16,60.800
09.10.2020,"3.800,00",,,"3.800,00","0,00",0,0
08.10.2020,"3.800,00",,,"3.800,00","0,00",0,0
07.10.2020,"3.800,00",,,"3.800,00","0,00",0,0
06.10.2020,"3.800,00","3.800,00","3.800,00","3.800,00","-2,60",90,342.000
05.10.2020,"3.901,00","3.910,00","3.901,00","3.901,43","-2,46",105,409.650
02.10.2020,"4.000,00",,,"4.000,00","0,00",0,0
01.10.2020,"4.000,00",,,"4.000,00","0,00",0,0
30.9.2020,"4.000,00",,,"4.000,00","0,00",0,0
29.9.2020,"4.000,00","4.000,00","4.000,00","4.000,00","2,56",75,300.000
28.9.2020,"3.900,00","3.900,00","3.900,00","3.900,00","0,00",7,27.300
25.9.2020,"3.900,00","3.900,00","3.900,00","3.900,00","-2,50",12,46.800
24.9.2020,"4.000,00",,,"3.999,89","0,00",0,0
23.9.2020,"4.000,00","4.000,00","3.999,00","3.999,89","0,00",220,879.975
22.9.2020,"4.000,00",,,"4.000,00","0,00",0,0
21.9.2020,"4.000,00",,,"4.000,00","0,00",0,0
18.9.2020,"4.000,00",,,"4.000,00","0,00",0,0
17.9.2020,"4.000,00",,,"4.000,00","0,00",0,0
16.9.2020,"4.000,00","4.000,00","4.000,00","4.000,00","-0,50",60,240.000
15.9.2020,"4.020,00",,,"4.020,00","0,00",0,0
14.9.2020,"4.020,00","4.020,00","4.020,00","4.020,00","0,50",10,40.200
11.9.2020,"4.000,00",,,"4.000,00","0,00",0,0
10.9.2020,"4.000,00",,,"4.000,00","0,00",0,0
09.9.2020,"4.000,00","4.000,00","4.000,00","4.000,00","-0,04",72,288.000
07.9.2020,"4.000,00",,,"4.001,69","0,00",0,0
04.9.2020,"4.000,00",,,"4.001,69","0,00",0,0
