Датум,Цена,Макс,Мин,Просечна цена,% Промена,Количина,Вкупен промет
18.1.2021,"110.000,00","110.000,00","110.000,00","110.000,00","4,76",2,220.000
15.1.2021,"105.001,00",,,"105.001,00","0,00",0,0
14.1.2021,"105.001,00",,,"105.001,00","0,00",0,0
13.1.2021,"105.001,00",,,"105.001,00","0,00",0,0
12.1.2021,"105.001,00",,,"105.001,00","0,00",0,0
11.1.2021,"105.001,00",,,"105.001,00","0,00",0,0
08.1.2021,"105.001,00","105.001,00","105.001,00","105.001,00","0,96",5,525.005
05.1.2021,"104.000,00","104.000,00","104.000,00","104.000,00","0,00",1,104.000
04.1.2021,"104.000,00",,,"104.000,00","0,00",0,0
30.12.2020,"104.000,00","104.000,00","104.000,00","104.000,00","2,97",5,520.000
29.12.2020,"101.000,00",,,"101.000,00","0,00",0,0
28.12.2020,"101.000,00",,,"101.000,00","0,00",0,0
25.12.2020,"101.000,00",,,"101.000,00","0,00",0,0
24.12.2020,"101.000,00",,,"101.000,00","0,00",0,0
23.12.2020,"101.000,00",,,"101.000,00","0,00",0,0
22.12.2020,"101.000,00",,,"101.000,00","0,00",0,0
21.12.2020,"101.000,00",,,"101.000,00","0,00",0,0
18.12.2020,"101.000,00",,,"101.000,00","0,00",0,0
17.12.2020,"101.000,00",,,"101.000,00","0,00",0,0
16.12.2020,"101.000,00",,,"101.000,00","0,00",0,0
15.12.2020,"101.000,00",,,"101.000,00","0,00",0,0
14.12.2020,"101.000,00","101.000,00","101.000,00","101.000,00","1,00",12,1.212.000
11.12.2020,"100.000,00",,,"100.000,00","0,00",0,0
10.12.2020,"100.000,00",,,"100.000,00","0,00",0,0
09.12.2020,"100.000,00","100.000,00","100.000,00","100.000,00","0,22",1,100.000
07.12.2020,"99.778,00",,,"99.778,00","0,00",0,0
04.12.2020,"99.778,00",,,"99.778,00","0,00",0,0
03.12.2020,"99.778,00",,,"99.778,00","0,00",0,0
02.12.2020,"99.778,00",,,"99.778,00","0,00",0,0
01.12.2020,"99.778,00","99.778,00","99.778,00","99.778,00","3,00",1,99.778
30.11.2020,"96.873,00",,,"96.872,50","0,00",0,0
27.11.2020,"96.873,00",,,"96.872,50","0,00",0,0
26.11.2020,"96.873,00","96.873,00","96.870,00","96.872,50","3,00",6,581.235
25.11.2020,"94.052,00",,,"94.052,00","0,00",0,0
24.11.2020,"94.052,00",,,"94.052,00","0,00",0,0
23.11.2020,"94.052,00",,,"94.052,00","0,00",0,0
20.11.2020,"94.052,00",,,"94.052,00","0,00",0,0
19.11.2020,"94.052,00","94.052,00","94.052,00","94.052,00","4,50",9,846.468
18.11.2020,"90.000,00",,,"90.000,00","0,00",0,0
17.11.2020,"90.000,00",,,"90.000,00","0,00",0,0
16.11.2020,"90.000,00",,,"90.000,00","0,00",0,0
13.11.2020,"90.000,00",,,"90.000,00","0,00",0,0
12.11.2020,"90.000,00",,,"90.000,00","0,00",0,0
11.11.2020,"90.000,00",,,"90.000,00","0,00",0,0
10.11.2020,"90.000,00",,,"90.000,00","0,00",0,0
09.11.2020,"90.000,00",,,"90.000,00","0,00",0,0
06.11.2020,"90.000,00",,,"90.000,00","0,00",0,0
05.11.2020,"90.000,00",,,"90.000,00","0,00",0,0
04.11.2020,"90.000,00",,,"90.000,00","0,00",0,0
03.11.2020,"90.000,00",,,"90.000,00","0,00",0,0
02.11.2020,"90.000,00",,,"90.000,00","0,00",0,0
30.10.2020,"90.000,00",,,"90.000,00","0,00",0,0
29.10.2020,"90.000,00",,,"90.000,00","0,00",0,0
28.10.2020,"90.000,00",,,"90.000,00","0,00",0,0
27.10.2020,"90.000,00","90.000,00","90.000,00","90.000,00","-3,23",3,270.000
26.10.2020,"93.000,00","93.000,00","93.000,00","93.000,00","-0,93",8,744.000
