Датум,Цена,Макс,Мин,Просечна цена,% Промена,Количина,Вкупен промет
18.1.2021,"2.890,00",,,"2.890,00","0,00",0,0
15.1.2021,"2.890,00","2.890,00","2.890,00","2.890,00","0,00",21,60.690
14.1.2021,"2.890,00",,,"2.890,00","0,00",0,0
13.1.2021,"2.890,00",,,"2.890,00","0,00",0,0
12.1.2021,"2.890,00",,,"2.890,00","0,00",0,0
11.1.2021,"2.890,00",,,"2.890,00","0,00",0,0
08.1.2021,"2.890,00",,,"2.890,00","0,00",0,0
05.1.2021,"2.890,00",,,"2.890,00","0,00",0,0
04.1.2021,"2.890,00",,,"2.890,00","0,00",0,0
30.12.2020,"2.890,00",,,"2.890,00","0,00",0,0
29.12.2020,"2.890,00",,,"2.890,00","0,00",0,0
28.12.2020,"2.890,00",,,"2.890,00","0,00",0,0
25.12.2020,"2.890,00","2.890,00","2.890,00","2.890,00","1,40",1.000,2.890.000
24.12.2020,"2.850,00",,,"2.850,00","0,00",0,0
23.12.2020,"2.850,00",,,"2.850,00","0,00",0,0
22.12.2020,"2.850,00","2.850,00","2.850,00","2.850,00","0,71",60,171.000
21.12.2020,"2.830,00","2.830,00","2.830,00","2.830,00","0,00",8,22.640
18.12.2020,"2.830,00","2.830,00","2.830,00","2.830,00","0,00",295,834.850
17.12.2020,"2.830,00",,,"2.830,00","0,00",0,0
16.12.2020,"2.830,00",,,"2.830,00","0,00",0,0
15.12.2020,"2.830,00",,,"2.830,00","0,00",0,0
14.12.2020,"2.830,00","2.830,00","2.830,00","2.830,00","0,00",179,506.570
11.12.2020,"2.830,00","2.830,00","2.830,00","2.830,00","0,00",100,283.000
10.12.2020,"2.830,00",,,"2.830,00","0,00",0,0
09.12.2020,"2.830,00","2.830,00","2.830,00","2.830,00","0,00",119,336.770
07.12.2020,"2.830,00",,,"2.830,00","0,00",0,0
04.12.2020,"2.830,00","2.830,00","2.830,00","2.830,00","2,91",91,257.530
03.12.2020,"2.750,00",,,"2.750,00","0,00",0,0
02.12.2020,"2.750,00",,,"2.750,00","0,00",0,0
01.12.2020,"2.750,00","2.750,00","2.750,00","2.750,00","0,00",10,27.500
30.11.2020,"2.750,00",,,"2.750,00","0,00",0,0
27.11.2020,"2.750,00",,,"2.750,00","0,00",0,0
26.11.2020,"2.750,00",,,"2.750,00","0,00",0,0
25.11.2020,"2.750,00","2.750,00","2.750,00","2.750,00","-2,98",5,13.750
