Датум,Цена,Максимум,Минимум,Просечна цена,Промена,Количина,Вкупен Промет
18.1.2021,"400,00",,,"400,00","0,00",0,0
15.1.2021,"400,00",,,"400,00","0,00",0,0
14.1.2021,"400,00",,,"400,00","0,00",0,0
13.1.2021,"400,00","400,00","400,00","400,00","0,00",436,174.400
12.1.2021,"400,00",,,"400,00","0,00",0,0
11.1.2021,"400,00",,,"400,00","0,00",0,0
08.1.2021,"400,00",,,"400,00","0,00",0,0
05.1.2021,"400,00",,,"400,00","0,00",0,0
04.1.2021,"400,00",,,"400,00","0,00",0,0
30.12.2020,"400,00",,,"400,00","0,00",0,0
29.12.2020,"400,00",,,"400,00","0,00",0,0
28.12.2020,"400,00",,,"400,00","0,00",0,0
25.12.2020,"400,00",,,"400,00","0,00",0,0
24.12.2020,"400,00",,,"400,00","0,00",0,0
23.12.2020,"400,00",,,"400,00","0,00",0,0
22.12.2020,"400,00",,,"400,00","0,00",0,0
21.12.2020,"400,00",,,"400,00","0,00",0,0
18.12.2020,"400,00",,,"400,00","0,00",0,0
17.12.2020,"400,00",,,"400,00","0,00",0,0
16.12.2020,"400,00",,,"400,00","0,00",0,0
15.12.2020,"400,00",,,"400,00","0,00",0,0
14.12.2020,"400,00","400,00","400,00","400,00","0,00",5.267,2.106.800
11.12.2020,"400,00",,,"400,00","0,00",0,0
10.12.2020,"400,00",,,"400,00","0,00",0,0
09.12.2020,"400,00",,,"400,00","0,00",0,0
07.12.2020,"400,00",,,"400,00","0,00",0,0
04.12.2020,"400,00",,,"400,00","0,00",0,0
03.12.2020,"400,00",,,"400,00","0,00",0,0
02.12.2020,"400,00",,,"400,00","0,00",0,0
01.12.2020,"400,00",,,"400,00","0,00",0,0
30.11.2020,"400,00",,,"400,00","0,00",0,0
27.11.2020,"400,00",,,"400,00","0,00",0,0
26.11.2020,"400,00",,,"400,00","0,00",0,0
25.11.2020,"400,00",,,"400,00","0,00",0,0
24.11.2020,"400,00",,,"400,00","0,00",0,0
23.11.2020,"400,00",,,"400,00","0,00",0,0
20.11.2020,"400,00",,,"400,00","0,00",0,0
19.11.2020,"400,00",,,"400,00","0,00",0,0
18.11.2020,"400,00",,,"400,00","0,00",0,0
17.11.2020,"400,00",,,"400,00","0,00",0,0
16.11.2020,"400,00","400,00","400,00","400,00","-7,19",35,14.000
13.11.2020,"431,00",,,"431,00","0,00",0,0
12.11.2020,"431,00",,,"431,00","0,00",0,0
11.11.2020,"431,00",,,"431,00","0,00",0,0
10.11.2020,"431,00",,,"431,00","0,00",0,0
