Датум,Цена,Максимум,Минимум,Просечна цена,Промена,Количина,Вкупен Промет
18.1.2021,"7.800,00","7.800,00","7.800,00","7.800,00","-0,22",195,1.521.000
15.1.2021,"7.780,00","7.899,00","7.780,00","7.816,90","-0,12",1.510,11.803.523
14.1.2021,"7.850,00","7.920,00","7.800,00","7.826,10","2,39",2.426,18.986.127
13.1.2021,"7.713,00","7.790,00","7.550,00","7.643,55","1,64",953,7.284.305
12.1.2021,"7.549,00","7.550,00","7.500,00","7.519,99","0,28",1.443,10.851.352
11.1.2021,"7.500,00","7.501,00","7.400,00","7.499,32","1,95",1.352,10.139.082
08.1.2021,"7.400,00","7.492,00","7.349,00","7.355,64","0,74",3.005,22.103.685
05.1.2021,"7.399,00","7.399,00","7.252,00","7.301,59","0,01",4.154,30.330.797
04.1.2021,"7.300,00","7.310,00","7.300,00","7.300,65","0,01",310,2.263.200
30.12.2020,"7.299,00","7.300,00","7.298,00","7.299,65","0,82",2.078,15.168.663
29.12.2020,"7.300,00","7.300,00","7.219,00","7.240,22","0,63",2.761,22.084.258
28.12.2020,"7.202,00","7.298,00","7.150,00","7.194,56","1,16",5.831,44.049.056
25.12.2020,"7.103,00","7.149,00","7.100,00","7.111,87","0,37",409,2.908.755
24.12.2020,"7.087,00","7.100,00","7.079,00","7.085,62","0,26",336,2.380.767
23.12.2020,"7.051,00","7.085,00","7.050,00","7.066,93","-0,18",642,4.536.966
22.12.2020,"7.060,00","7.100,00","7.060,00","7.079,48","-0,64",455,3.221.164
21.12.2020,"7.075,00","7.150,00","7.075,00","7.124,92","0,75",1.077,7.673.540
18.12.2020,"7.215,00","7.215,00","7.003,00","7.071,75","0,95",361,2.552.902
17.12.2020,"7.060,00","7.060,00","7.000,00","7.005,40","0,05",1.570,14.161.978
16.12.2020,"7.020,00","7.020,00","7.000,00","7.001,62","0,05",383,2.681.620
15.12.2020,"6.990,00","7.000,00","6.989,00","6.998,19","-0,09",2.500,17.495.464
14.12.2020,"6.990,00","7.050,00","6.990,00","7.004,60","0,06",215,1.505.990
11.12.2020,"7.000,00","7.001,00","7.000,00","7.000,06","0,00",788,5.516.045
10.12.2020,"7.000,00","7.000,00","7.000,00","7.000,00","0,74",140,980.000
09.12.2020,"6.930,00","6.950,00","6.902,00","6.948,81","0,04",676,4.697.396
07.12.2020,"6.949,00","6.969,00","6.900,00","6.945,72","-0,40",612,4.250.778
04.12.2020,"6.969,00","6.999,00","6.950,00","6.973,85","-0,37",729,5.083.940
03.12.2020,"7.000,00","7.000,00","7.000,00","7.000,00","0,00",302,2.114.000
