Датум,Цена,Максимум,Минимум,Просечна цена,Промена,Количина,Вкупен Промет
18.1.2021,"3.681,00",,,"3.789,50","0,00",0,0
15.1.2021,"3.681,00","3.898,00","3.681,00","3.789,50","-0,14",20,75.790
14.1.2021,"3.799,00","3.799,00","3.792,00","3.794,68","2,86",78,295.985
13.1.2021,"3.689,00","3.689,00","3.689,00","3.689,00","5,77",19,70.091
12.1.2021,"3.550,00","3.550,00","3.390,00","3.487,61","2,60",161,561.506
11.1.2021,"3.399,00",,,"3.399,28","0,00",0,0
08.1.2021,"3.399,00",,,"3.399,28","0,00",0,0
05.1.2021,"3.399,00",,,"3.399,28","0,00",0,0
04.1.2021,"3.399,00",,,"3.399,28","0,00",0,0
30.12.2020,"3.399,00","3.400,00","3.399,00","3.399,28","3,01",53,180.162
29.12.2020,"3.300,00",,,"3.300,00","0,00",0,0
28.12.2020,"3.300,00","3.300,00","3.300,00","3.300,00","0,96",26,85.800
25.12.2020,"3.300,00",,,"3.268,55","0,00",0,0
24.12.2020,"3.300,00",,,"3.268,55","0,00",0,0
23.12.2020,"3.300,00","3.300,00","3.230,00","3.268,55","1,10",55,179.770
22.12.2020,"3.233,00","3.233,00","3.233,00","3.233,00","-2,03",14,45.262
21.12.2020,"3.300,00",,,"3.300,00","0,00",0,0
18.12.2020,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",10,33.000
17.12.2020,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",40,132.000
16.12.2020,"3.300,00",,,"3.300,00","0,00",0,0
15.12.2020,"3.300,00",,,"3.300,00","0,00",0,0
14.12.2020,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",117,386.100
11.12.2020,"3.300,00",,,"3.300,00","0,00",0,0
10.12.2020,"3.300,00","3.300,00","3.300,00","3.300,00","-2,80",15,49.500
09.12.2020,"3.395,00",,,"3.395,00","0,00",0,0
07.12.2020,"3.395,00",,,"3.395,00","0,00",0,0
04.12.2020,"3.395,00",,,"3.395,00","0,00",0,0
03.12.2020,"3.395,00",,,"3.395,00","0,00",0,0
02.12.2020,"3.395,00",,,"3.395,00","0,00",0,0
01.12.2020,"3.395,00",,,"3.395,00","0,00",0,0
30.11.2020,"3.395,00",,,"3.395,00","0,00",0,0
27.11.2020,"3.395,00",,,"3.395,00","0,00",0,0
26.11.2020,"3.395,00",,,"3.395,00","0,00",0,0
25.11.2020,"3.395,00","3.395,00","3.395,00","3.395,00","-2,97",10,33.950
24.11.2020,"3.499,00",,,"3.499,00","0,00",0,0
23.11.2020,"3.499,00","3.499,00","3.499,00","3.499,00","-0,03",5,17.495
20.11.2020,"3.500,00",,,"3.500,00","0,00",0,0
19.11.2020,"3.500,00",,,"3.500,00","0,00",0,0
18.11.2020,"3.500,00",,,"3.500,00","0,00",0,0
17.11.2020,"3.500,00",,,"3.500,00","0,00",0,0
16.11.2020,"3.500,00",,,"3.500,00","0,00",0,0
13.11.2020,"3.500,00",,,"3.500,00","0,00",0,0
12.11.2020,"3.500,00",,,"3.500,00","0,00",0,0
