Датум,Цена,Максимум,Минимум,Просечна цена,Промена,Количина,Вкупен Промет
18.1.2021,"2.911,00","2.911,00","2.911,00","2.911,00","0,00",75,218.325
15.1.2021,"2.911,00",,,"2.911,00","0,00",0,0
14.1.2021,"2.911,00",,,"2.911,00","0,00",0,0
13.1.2021,"2.911,00","2.911,00","2.911,00","2.911,00","-2,97",25,72.775
12.1.2021,"3.000,00",,,"3.000,24","0,00",0,0
11.1.2021,"3.000,00",,,"3.000,24","0,00",0,0
08.1.2021,"3.000,00",,,"3.000,24","0,00",0,0
05.1.2021,"3.000,00",,,"3.000,24","0,00",0,0
04.1.2021,"3.000,00",,,"3.000,24","0,00",0,0
30.12.2020,"3.000,00",,,"3.000,24","0,00",0,6.351.000
29.12.2020,"3.000,00","3.004,00","3.000,00","3.000,24","9,83",3.856,16.815.920
28.12.2020,"2.938,00","2.938,00","2.670,00","2.731,74","2,27",230,628.300
25.12.2020,"2.671,00","2.671,00","2.671,00","2.671,00","0,00",10,26.710
24.12.2020,"2.671,00","2.671,00","2.671,00","2.671,00","0,00",50,133.550
23.12.2020,"2.671,00",,,"2.671,00","0,00",0,0
22.12.2020,"2.671,00",,,"2.671,00","0,00",0,0
21.12.2020,"2.671,00","2.671,00","2.671,00","2.671,00","0,53",31,82.801
18.12.2020,"2.657,00",,,"2.657,00","0,00",0,0
17.12.2020,"2.657,00",,,"2.657,00","0,00",0,0
16.12.2020,"2.657,00","2.657,00","2.657,00","2.657,00","-2,64",5,13.285
15.12.2020,"2.729,00",,,"2.729,00","0,00",0,0
14.12.2020,"2.729,00",,,"2.729,00","0,00",0,0
11.12.2020,"2.729,00","2.729,00","2.729,00","2.729,00","2,98",25,68.225
10.12.2020,"2.650,00",,,"2.650,00","0,00",0,0
09.12.2020,"2.650,00","2.650,00","2.650,00","2.650,00","0,00",68,180.200
07.12.2020,"2.650,00",,,"2.650,00","0,00",0,0
04.12.2020,"2.650,00","2.650,00","2.650,00","2.650,00","0,00",19,50.350
03.12.2020,"2.650,00",,,"2.650,00","0,00",0,0
02.12.2020,"2.650,00",,,"2.650,00","0,00",0,0
01.12.2020,"2.650,00",,,"2.650,00","0,00",0,0
30.11.2020,"2.650,00",,,"2.650,00","0,00",0,0
27.11.2020,"2.650,00",,,"2.650,00","0,00",0,0
26.11.2020,"2.650,00",,,"2.650,00","0,00",0,0
25.11.2020,"2.650,00","2.650,00","2.650,00","2.650,00","0,00",10,26.500
24.11.2020,"2.650,00","2.650,00","2.650,00","2.650,00","0,00",39,103.350
23.11.2020,"2.650,00",,,"2.650,00","0,00",0,0
20.11.2020,"2.650,00","2.650,00","2.650,00","2.650,00","0,00",89,235.850
19.11.2020,"2.650,00",,,"2.650,00","0,00",0,0
18.11.2020,"2.650,00",,,"2.650,00","0,00",0,0
17.11.2020,"2.650,00",,,"2.650,00","0,00",0,0
16.11.2020,"2.650,00",,,"2.650,00","0,00",0,0
13.11.2020,"2.650,00","2.650,00","2.650,00","2.650,00","0,00",42,111.300
12.11.2020,"2.650,00",,,"2.650,00","0,00",0,0
11.11.2020,"2.650,00",,,"2.650,00","0,00",0,0
10.11.2020,"2.650,00",,,"2.650,00","0,00",0,0
09.11.2020,"2.650,00",,,"2.650,00","0,00",0,0
06.11.2020,"2.650,00",,,"2.650,00","0,00",0,0
05.11.2020,"2.650,00","2.650,00","2.650,00","2.650,00","0,00",11,29.150
04.11.2020,"2.650,00",,,"2.650,00","0,00",0,0
03.11.2020,"2.650,00",,,"2.650,00","0,00",0,0
02.11.2020,"2.650,00",,,"2.650,00","0,00",0,0
30.10.2020,"2.650,00","2.650,00","2.650,00","2.650,00","0,00",50,132.500
29.10.2020,"2.650,00",,,"2.650,00","0,00",0,0
28.10.2020,"2.650,00",,,"2.650,00","0,00",0,0
27.10.2020,"2.650,00",,,"2.650,00","0,00",0,0
26.10.2020,"2.650,00","2.650,00","2.650,00","2.650,00","0,00",30,79.500
22.10.2020,"2.650,00",,,"2.650,00","0,00",0,0
21.10.2020,"2.650,00",,,"2.650,00","0,00",0,0
20.10.2020,"2.650,00",,,"2.650,00","0,00",0,0
19.10.2020,"2.650,00",,,"2.650,00","0,00",0,0
16.10.2020,"2.650,00",,,"2.650,00","0,00",0,0
15.10.2020,"2.650,00",,,"2.650,00","0,00",0,0
14.10.2020,"2.650,00",,,"2.650,00","0,00",0,0
