Датум,Цена,Максимум,Минимум,Просечна цена,Промена,Количина,Вкупен Промет
17.1.2025,"80,00",,,"80,00","0,00",0,0
16.1.2025,"80,00",,,"80,00","0,00",0,0
15.1.2025,"80,00",,,"80,00","0,00",0,0
14.1.2025,"80,00",,,"80,00","0,00",0,0
13.1.2025,"80,00",,,"80,00","0,00",0,0
10.1.2025,"80,00",,,"80,00","0,00",0,0
09.1.2025,"80,00",,,"80,00","0,00",0,0
08.1.2025,"80,00",,,"80,00","0,00",0,0
03.1.2025,"80,00",,,"80,00","0,00",0,0
02.1.2025,"80,00",,,"80,00","0,00",0,0
30.12.2024,"80,00",,,"80,00","0,00",0,0
27.12.2024,"80,00",,,"80,00","0,00",0,0
26.12.2024,"80,00",,,"80,00","0,00",0,0
25.12.2024,"80,00",,,"80,00","0,00",0,0
24.12.2024,"80,00",,,"80,00","0,00",0,0
23.12.2024,"80,00",,,"80,00","0,00",0,0
20.12.2024,"80,00",,,"80,00","0,00",0,0
19.12.2024,"80,00","80,00","80,00","80,00","0,00",7.800,624.000
20.1.2025,"80,00",,,"80,00","0,00",0,0
